region,latitude,longitude,pollution_level,oxygen_level
Delhi,28.6139,77.209,200,15.0
Mumbai,19.076,72.8777,150,18.0
Kolkata,22.5726,88.3639,180,16.0
Bangalore,12.9716,77.5946,120,20.0
Chennai,13.0827,80.2707,160,17.0
Hyderabad,17.385,78.4867,140,19.0
Ahmedabad,23.0225,72.5714,170,16.5
Pune,18.5204,73.8567,130,19.5
Jaipur,26.9124,75.7873,190,15.5
Surat,21.1702,72.8311,145,18.5
Ahmedabad,23.319042986860232,72.25483478986617,157,10.8
Chennai,12.738718640442437,79.92669452033621,150,12.0
Pune,18.354108611139022,73.49956681792195,112,18.3
Hyderabad,16.9414115790271,78.70869877226683,149,14.1
Hyderabad,16.885778765841017,78.97891155929122,152,13.8
Surat,21.19495643163224,72.76304501864212,151,13.4
Surat,20.716865663213618,73.30485551884146,139,14.6
Kolkata,22.455061991267165,88.84713088580679,162,9.8
Chennai,13.19024485190144,79.94122412368729,178,9.2
Mumbai,19.524885537253333,73.34333203307456,138,14.2
Surat,20.767872114006384,73.01533302651217,131,15.4
Pune,18.054788521115217,74.26602040207878,145,15.0
Mumbai,19.238522284353984,72.68941107608941,135,14.5
Hyderabad,17.43171027934328,78.17155445552552,137,15.3
Surat,21.119954133369767,72.72625023600182,160,12.5
Pune,18.5908439744054,73.87753426002583,149,14.6
Chennai,12.971377289689483,80.0420490317739,163,10.7
Surat,21.635455307264138,72.93813424768669,153,13.2
Delhi,28.129536406741195,77.13240148070638,180,7.0
Pune,18.0259221171236,74.17216142845484,126,16.9
Pune,18.749407168040985,74.12797034668596,114,18.1
Surat,21.028665728544272,72.44696905952513,131,15.4
Jaipur,27.03569812682756,75.61819802485265,192,6.300000000000001
Pune,18.686322356617495,73.94799778770773,131,16.4
Kolkata,22.54481492516195,87.9834942459383,173,8.7
Kolkata,22.833385048616897,88.4251771975695,173,8.7
Ahmedabad,22.56293358953843,72.78206288968579,175,9.0
Surat,21.109536501865772,72.5328192023354,156,12.9
Ahmedabad,22.99787022318211,72.63467557197639,153,11.2
Chennai,12.831992229148875,80.18108292303563,168,10.2
Bangalore,13.414453570557981,77.69346546648853,121,17.9
Mumbai,19.200354048133793,72.67333368583772,135,14.5
Bangalore,13.364158998489978,77.63394224191565,127,17.3
Jaipur,26.730403474971865,75.39735192452768,196,5.9
Jaipur,27.230414765922493,76.14803058325634,208,4.699999999999999
Hyderabad,17.39574730257757,78.40411100314878,156,13.4
Delhi,28.233765367333685,77.04661517140363,194,5.6
Hyderabad,17.103764219573073,78.54480200201733,131,15.9
Ahmedabad,23.019748505892387,72.37227830981676,166,9.9
Delhi,29.090514955832653,77.12003701331824,202,4.800000000000001
Chennai,12.927771248026684,80.40505134470136,141,12.9
Chennai,13.072152760277564,80.7563504541106,171,9.9
